filename,number of residues,rg_all,rg_hydrophobic,rg_ratio
/Users/Bian/Downloads/proteins/T0437-D1.pdb,68,98.4217172742,65.051592716,0.660947548138
/Users/Bian/Downloads/proteins/T0438-D1.pdb,164,187.581347785,107.769626117,0.574522080099
/Users/Bian/Downloads/proteins/T0438-D2.pdb,223,262.783945941,150.800897557,0.57385886728
/Users/Bian/Downloads/proteins/T0440-D1.pdb,275,291.092189693,167.674764844,0.576019456314
/Users/Bian/Downloads/proteins/T0441-D1.pdb,124,146.009617558,77.9081092307,0.533582037496
/Users/Bian/Downloads/proteins/T0441-D2.pdb,146,158.820170848,91.0348017895,0.5731942064
/Users/Bian/Downloads/proteins/T0442-D1.pdb,157,183.395852508,109.820239339,0.598815283097
/Users/Bian/Downloads/proteins/T0442-D2.pdb,73,103.543890302,60.2574700201,0.581950995318
/Users/Bian/Downloads/proteins/T0443-D1.pdb,66,91.9945582626,49.8440513288,0.541815214618
/Users/Bian/Downloads/proteins/T0443-D2.pdb,60,88.6379911004,55.0975024392,0.621601434725
/Users/Bian/Downloads/proteins/T0443-D3.pdb,66,92.6896169565,52.6562737269,0.568092473093
/Users/Bian/Downloads/proteins/T0444-D1.pdb,276,318.458459464,198.353964149,0.622856634058
/Users/Bian/Downloads/proteins/T0445-D1.pdb,155,170.949224338,105.259299268,0.615734289962
/Users/Bian/Downloads/proteins/T0445-D2.pdb,107,131.09471797,74.456726518,0.567961300585
/Users/Bian/Downloads/proteins/T0446-D1.pdb,57,81.6586669286,44.2763742418,0.542212797577
/Users/Bian/Downloads/proteins/T0446-D2.pdb,50,77.169868297,44.0639832749,0.570999850684
/Users/Bian/Downloads/proteins/T0447-D1.pdb,542,533.066453635,325.060196428,0.609793008378
/Users/Bian/Downloads/proteins/T0448-D1.pdb,207,225.081219696,133.000081354,0.590898172375
/Users/Bian/Downloads/proteins/T0449-D1.pdb,296,319.746419005,156.05774294,0.488067210967
/Users/Bian/Downloads/proteins/T0450-D1.pdb,491,502.629215296,292.357335194,0.581656072303
/Users/Bian/Downloads/proteins/T0451-D1.pdb,127,154.511366991,78.2458104283,0.506408117098
/Users/Bian/Downloads/proteins/T0452-D1.pdb,156,176.156795334,104.947840863,0.595763794772
/Users/Bian/Downloads/proteins/T0452-D2.pdb,163,196.806055058,121.3361679,0.616526599574
/Users/Bian/Downloads/proteins/T0453-D1.pdb,86,108.214376591,57.5159777664,0.531500338294
/Users/Bian/Downloads/proteins/T0454-D1.pdb,52,66.9759395759,40.2331208366,0.60071006232
/Users/Bian/Downloads/proteins/T0454-D2.pdb,140,181.601866972,112.675703018,0.620454541004
/Users/Bian/Downloads/proteins/T0455-D1.pdb,139,181.048359831,98.7087540224,0.545206563121
/Users/Bian/Downloads/proteins/T0456-D1.pdb,87,118.26622658,64.6477474884,0.546628985788
/Users/Bian/Downloads/proteins/T0456-D2.pdb,175,197.697659785,105.53128016,0.533801362519
/Users/Bian/Downloads/proteins/T0457-D1.pdb,194,213.530989622,122.974062705,0.57590733281
/Users/Bian/Downloads/proteins/T0457-D2.pdb,118,145.772774144,76.5696458393,0.525267124047
/Users/Bian/Downloads/proteins/T0458-D1.pdb,77,99.2258645218,51.5113660608,0.519132449075
/Users/Bian/Downloads/proteins/T0459-D1.pdb,91,123.553151887,64.214603962,0.51973262504
/Users/Bian/Downloads/proteins/T0460-D1.pdb,80,108.879204021,58.3081066056,0.535530243168
/Users/Bian/Downloads/proteins/T0461-D1.pdb,154,179.343335203,97.2194478601,0.542085646784
/Users/Bian/Downloads/proteins/T0462-D1.pdb,70,86.6926995745,54.625953736,0.630110193869
/Users/Bian/Downloads/proteins/T0462-D2.pdb,63,81.2328109413,42.2920580832,0.520627780734
/Users/Bian/Downloads/proteins/T0463-D1.pdb,211,237.1729227,143.207209574,0.603809271071
/Users/Bian/Downloads/proteins/T0464-D1.pdb,69,87.0446868613,52.0788347073,0.598299983435
/Users/Bian/Downloads/proteins/T0465-D1.pdb,96,127.898124229,67.9146729777,0.531006012694
/Users/Bian/Downloads/proteins/T0466-D1.pdb,72,104.756818321,57.9296526392,0.552991715173
/Users/Bian/Downloads/proteins/T0468-D1.pdb,61,94.3754081205,57.2276586185,0.606383164409
/Users/Bian/Downloads/proteins/T0469-D1.pdb,63,78.6382304856,48.169723953,0.612548421493
/Users/Bian/Downloads/proteins/T0470-D1.pdb,111,134.650221063,68.5466705124,0.509072097849
/Users/Bian/Downloads/proteins/T0470-D2.pdb,77,114.597522516,64.3079168178,0.561163238141
/Users/Bian/Downloads/proteins/T0471-D1.pdb,88,108.755026934,63.439826857,0.583327765578
/Users/Bian/Downloads/proteins/T0472-D1.pdb,58,81.9495380634,32.8818684831,0.401245318279
/Users/Bian/Downloads/proteins/T0472-D2.pdb,45,66.9328618755,42.0176868949,0.627758708018
/Users/Bian/Downloads/proteins/T0473-D1.pdb,60,78.4774296567,42.6148402104,0.543020335871
/Users/Bian/Downloads/proteins/T0474-D1.pdb,41,72.0355028305,44.8276071901,0.622298803071
/Users/Bian/Downloads/proteins/T0475-D1.pdb,118,148.236434882,88.2925536565,0.595619786234
/Users/Bian/Downloads/proteins/T0476-D1.pdb,87,121.98244062,70.0276615644,0.574079852873
/Users/Bian/Downloads/proteins/T0477-D1.pdb,240,266.600278351,159.184043343,0.597088811487
/Users/Bian/Downloads/proteins/T0478-D1.pdb,126,173.762845745,99.4719949181,0.572458366988
/Users/Bian/Downloads/proteins/T0478-D2.pdb,130,177.858678813,110.451762624,0.621008563434
/Users/Bian/Downloads/proteins/T0479-D1.pdb,122,150.519432498,93.4085255054,0.620574526192
/Users/Bian/Downloads/proteins/T0480-D1.pdb,30,44.9742907945,24.1890153169,0.537840950676
/Users/Bian/Downloads/proteins/T0481-D1.pdb,135,178.573160005,95.4647746782,0.534597554725
/Users/Bian/Downloads/proteins/T0482-D1.pdb,67,98.7702615597,56.4554728702,0.571583713344
/Users/Bian/Downloads/proteins/T0483-D1.pdb,273,320.305724704,187.96842226,0.586840658043
/Users/Bian/Downloads/proteins/T0485-D1.pdb,207,227.619943402,127.484895944,0.560077882627
/Users/Bian/Downloads/proteins/T0486-D1.pdb,214,239.269607317,142.174013809,0.594200054921
/Users/Bian/Downloads/proteins/T0487-D1.pdb,194,244.55077018,146.356525088,0.598470922749
/Users/Bian/Downloads/proteins/T0487-D2.pdb,134,196.702773312,106.242271583,0.540115778719
/Users/Bian/Downloads/proteins/T0487-D3.pdb,71,94.7199083127,45.5711029254,0.481114305717
/Users/Bian/Downloads/proteins/T0487-D4.pdb,87,112.47977385,53.2972527782,0.473838548512
/Users/Bian/Downloads/proteins/T0487-D5.pdb,147,182.631407895,113.267709635,0.620198414609
/Users/Bian/Downloads/proteins/T0488-D1.pdb,86,108.040968998,54.5668343416,0.505056876549
/Users/Bian/Downloads/proteins/T0489-D1.pdb,210,242.642531783,153.957531677,0.634503483562
/Users/Bian/Downloads/proteins/T0490-D1.pdb,361,395.029613022,256.391682549,0.649044208579
/Users/Bian/Downloads/proteins/T0491-D1.pdb,96,139.000693353,85.5911811647,0.615760821764
/Users/Bian/Downloads/proteins/T0492-D1.pdb,69,85.9719798119,48.3507599372,0.56240137825
/Users/Bian/Downloads/proteins/T0493-D1.pdb,149,168.287357719,100.131096145,0.595000702977
/Users/Bian/Downloads/proteins/T0494-D1.pdb,345,402.403962842,215.739625832,0.536126991166
/Users/Bian/Downloads/proteins/T0495-D1.pdb,139,169.135084938,106.748071817,0.631140912343
/Users/Bian/Downloads/proteins/T0496-D1.pdb,120,143.095914158,79.1623970085,0.553212140783
/Users/Bian/Downloads/proteins/T0496-D2.pdb,45,86.7957067384,57.8832459037,0.66689065714
/Users/Bian/Downloads/proteins/T0497-D1.pdb,124,157.490818601,84.9735706649,0.539546187008
/Users/Bian/Downloads/proteins/T0498-D1.pdb,45,59.9098199263,35.0237847803,0.584608413501
/Users/Bian/Downloads/proteins/T0499-D1.pdb,56,78.4105703911,44.3653644863,0.565808465173
/Users/Bian/Downloads/proteins/T0501-D1.pdb,213,229.058796442,131.913236298,0.575892471049
/Users/Bian/Downloads/proteins/T0501-D2.pdb,126,153.34930603,80.8701953523,0.527359382613
/Users/Bian/Downloads/proteins/T0502-D1.pdb,93,127.204785641,65.1017346855,0.511786835357
/Users/Bian/Downloads/proteins/T0503-D1.pdb,144,184.745557435,111.535550621,0.603725210878
/Users/Bian/Downloads/proteins/T0504-D1.pdb,62,84.4236743006,35.9096861467,0.425350903573
/Users/Bian/Downloads/proteins/T0504-D2.pdb,90,113.896924467,60.3290252332,0.529680898018
/Users/Bian/Downloads/proteins/T0504-D3.pdb,53,70.0823232096,33.2508520262,0.474454191919
/Users/Bian/Downloads/proteins/T0505-D1.pdb,159,177.429267845,101.898865837,0.574306973559
/Users/Bian/Downloads/proteins/T0505-D2.pdb,104,131.0870178,71.5750905678,0.546012044284
/Users/Bian/Downloads/proteins/T0506-D1.pdb,137,169.881959865,103.111742768,0.606961109058
/Users/Bian/Downloads/proteins/T0506-D2.pdb,78,101.009655471,63.4588479546,0.62824536584
/Users/Bian/Downloads/proteins/T0507-D1.pdb,124,151.030734994,88.3666774756,0.58509069349
/Users/Bian/Downloads/proteins/T0508-D1.pdb,174,195.228176142,114.280330553,0.585368018139
/Users/Bian/Downloads/proteins/T0509-D1.pdb,209,236.057636204,132.877742477,0.562903808638
/Users/Bian/Downloads/proteins/T0510-D1.pdb,151,175.801584433,93.3730325994,0.531127366686
/Users/Bian/Downloads/proteins/T0510-D2.pdb,68,88.4205755682,50.5771490095,0.572006557122
/Users/Bian/Downloads/proteins/T0510-D3.pdb,43,64.7489116328,28.3157491676,0.437316218197
/Users/Bian/Downloads/proteins/T0511-D1.pdb,249,265.293471076,174.743299972,0.658679232714
/Users/Bian/Downloads/proteins/T0512-D1.pdb,320,329.681039016,180.227322373,0.54667178589
/Users/Bian/Downloads/proteins/T0513-D1.pdb,208,236.639595453,143.173085533,0.605025905573
/Users/Bian/Downloads/proteins/T0513-D2.pdb,69,94.0603185638,54.0987684518,0.575149747288
/Users/Bian/Downloads/proteins/T0514-D1.pdb,144,183.504513318,113.626802267,0.619204401096
/Users/Bian/Downloads/proteins/T0515-D1.pdb,348,411.544891006,253.599759893,0.616214088511
/Users/Bian/Downloads/proteins/T0516-D1.pdb,227,263.20888028,147.938432539,0.562057147849
/Users/Bian/Downloads/proteins/T0517-D1.pdb,159,196.759431237,119.267713763,0.606160086017
/Users/Bian/Downloads/proteins/T0518-D1.pdb,256,273.293406042,133.080385517,0.486950590736
/Users/Bian/Downloads/proteins/T0520-D1.pdb,173,206.567185213,113.066838,0.547361081981
/Users/Bian/Downloads/proteins/T0521-D1.pdb,98,136.23769619,81.922464428,0.60132009509
/Users/Bian/Downloads/proteins/T0521-D2.pdb,70,98.2637743569,48.0481671117,0.488971316501
/Users/Bian/Downloads/proteins/T0522-D1.pdb,131,159.412072703,87.4149176657,0.548358202633
/Users/Bian/Downloads/proteins/T0523-D1.pdb,111,137.134585064,85.0397493214,0.620118909332
/Users/Bian/Downloads/proteins/T0524-D1.pdb,321,335.238487824,180.731632871,0.53911361444
/Users/Bian/Downloads/proteins/T0525-D1.pdb,205,233.717617071,128.701448234,0.550670718995
/Users/Bian/Downloads/proteins/T0526-D1.pdb,290,307.011455345,162.152004229,0.528162716425
/Users/Bian/Downloads/proteins/T0527-D1.pdb,99,133.210597671,65.3164527117,0.490324747831
/Users/Bian/Downloads/proteins/T0528-D1.pdb,204,217.999388718,118.126874973,0.541867918382
/Users/Bian/Downloads/proteins/T0528-D2.pdb,160,183.580993302,110.901150924,0.604099307503
/Users/Bian/Downloads/proteins/T0529-D1.pdb,322,350.918960481,210.348498239,0.599421866378
/Users/Bian/Downloads/proteins/T0529-D2.pdb,193,219.545694907,123.33410859,0.561769651837
/Users/Bian/Downloads/proteins/T0530-D1.pdb,80,106.903683116,44.622999896,0.417413119879
/Users/Bian/Downloads/proteins/T0532-D1.pdb,470,483.286469617,275.515137851,0.570086594953
/Users/Bian/Downloads/proteins/T0533-D1.pdb,199,235.34532399,140.137311929,0.595453988858
/Users/Bian/Downloads/proteins/T0533-D2.pdb,91,110.530409441,63.115911961,0.571027577663
/Users/Bian/Downloads/proteins/T0534-D1.pdb,178,216.984878662,117.685255562,0.542366160661
/Users/Bian/Downloads/proteins/T0534-D2.pdb,176,234.127179806,128.421051949,0.548509797349
/Users/Bian/Downloads/proteins/T0536-D1.pdb,93,129.721570366,72.511541557,0.558978289827
/Users/Bian/Downloads/proteins/T0537-D1.pdb,286,292.889564553,166.97277272,0.570087817826
/Users/Bian/Downloads/proteins/T0537-D2.pdb,31,47.5561311559,21.0034694171,0.441656394383
/Users/Bian/Downloads/proteins/T0538-D1.pdb,53,70.7326934454,39.919220943,0.564367324339
/Users/Bian/Downloads/proteins/T0539-D1.pdb,68,93.90855791,59.4294862968,0.632844200991
/Users/Bian/Downloads/proteins/T0540-D1.pdb,90,120.086332047,72.3258429214,0.602282055657
/Users/Bian/Downloads/proteins/T0541-D1.pdb,102,131.096576296,72.0108743135,0.549296376368
/Users/Bian/Downloads/proteins/T0542-D1.pdb,301,305.705244257,177.793383813,0.581584343589
/Users/Bian/Downloads/proteins/T0542-D2.pdb,265,307.316482601,185.835806961,0.60470497836
/Users/Bian/Downloads/proteins/T0543-D1.pdb,40,54.3039674234,27.275642081,0.502277151656
/Users/Bian/Downloads/proteins/T0543-D2.pdb,45,60.9923038518,29.4118709574,0.482222659253
/Users/Bian/Downloads/proteins/T0543-D3.pdb,386,425.119376717,238.587996663,0.561225880847
/Users/Bian/Downloads/proteins/T0543-D4.pdb,312,327.525343339,168.333531098,0.513955742728
/Users/Bian/Downloads/proteins/T0544-D1.pdb,135,167.883369549,96.0278217475,0.571991269923
/Users/Bian/Downloads/proteins/T0545-D1.pdb,131,157.001222879,78.0974620984,0.497432189802
/Users/Bian/Downloads/proteins/T0547-D1.pdb,183,210.450877279,116.471332131,0.553437142374
/Users/Bian/Downloads/proteins/T0547-D2.pdb,265,290.004752117,167.78722182,0.578567146211
/Users/Bian/Downloads/proteins/T0547-D3.pdb,79,107.242410309,64.9905040935,0.606014951607
/Users/Bian/Downloads/proteins/T0547-D4.pdb,56,95.5320896901,52.0575868776,0.544922518146
/Users/Bian/Downloads/proteins/T0548-D1.pdb,35,51.4336491058,22.8535489607,0.444330693194
/Users/Bian/Downloads/proteins/T0548-D2.pdb,60,92.7503408277,49.8855479787,0.53784759747
/Users/Bian/Downloads/proteins/T0550-D1.pdb,143,191.799460931,102.087174996,0.532259968305
/Users/Bian/Downloads/proteins/T0550-D2.pdb,162,220.881721323,106.438085797,0.481878197794
/Users/Bian/Downloads/proteins/T0551-D1.pdb,63,94.2075889483,47.8913241671,0.508359514363
/Users/Bian/Downloads/proteins/T0552-D1.pdb,73,96.9842994726,53.7384038399,0.554093849542
/Users/Bian/Downloads/proteins/T0553-D1.pdb,63,84.9690377194,49.9995939968,0.588444865786
/Users/Bian/Downloads/proteins/T0553-D2.pdb,71,98.7719540581,52.0319594426,0.526788802943
/Users/Bian/Downloads/proteins/T0555-D1.pdb,134,174.432560687,94.2427693122,0.540281980275
/Users/Bian/Downloads/proteins/T0557-D1.pdb,120,157.927213153,88.1425027986,0.558121054877
/Users/Bian/Downloads/proteins/T0558-D1.pdb,272,282.707553808,159.606890451,0.564565354907
/Users/Bian/Downloads/proteins/T0559-D1.pdb,67,87.9936475574,52.6695593105,0.598560927665
/Users/Bian/Downloads/proteins/T0560-D1.pdb,64,84.4125823465,47.2992962378,0.560334667214
/Users/Bian/Downloads/proteins/T0561-D1.pdb,151,192.751875035,117.408474238,0.609117157572
/Users/Bian/Downloads/proteins/T0562-D1.pdb,123,156.522222917,72.2068449252,0.46132008337
/Users/Bian/Downloads/proteins/T0563-D1.pdb,228,261.46573108,145.395162909,0.556077319611
/Users/Bian/Downloads/proteins/T0564-D1.pdb,61,81.7076585104,40.3066658259,0.493303400939
/Users/Bian/Downloads/proteins/T0565-D1.pdb,304,349.331276101,183.039380165,0.52397077699
/Users/Bian/Downloads/proteins/T0566-D1.pdb,143,205.098754105,88.3678611008,0.430855182354
/Users/Bian/Downloads/proteins/T0567-D1.pdb,135,158.948616286,89.4757605396,0.562922550887
/Users/Bian/Downloads/proteins/T0568-D1.pdb,120,163.61620636,84.5998965882,0.517063061602
/Users/Bian/Downloads/proteins/T0569-D1.pdb,78,109.752632558,47.2182098242,0.430223938356
/Users/Bian/Downloads/proteins/T0570-D1.pdb,233,258.262197395,140.208635026,0.542892596904
/Users/Bian/Downloads/proteins/T0571-D1.pdb,165,214.147191643,116.660839003,0.544769408873
/Users/Bian/Downloads/proteins/T0571-D2.pdb,135,169.761173089,81.9391130412,0.482672872426
/Users/Bian/Downloads/proteins/T0572-D1.pdb,86,140.22847403,73.4825853336,0.524020430529
/Users/Bian/Downloads/proteins/T0573-D1.pdb,254,291.408346638,169.998303456,0.583367996894
/Users/Bian/Downloads/proteins/T0574-D1.pdb,102,142.694650198,80.3425708034,0.563038422897
/Users/Bian/Downloads/proteins/T0575-D1.pdb,63,84.6447616328,44.7409397493,0.528573049132
/Users/Bian/Downloads/proteins/T0575-D2.pdb,127,173.048448545,111.97751015,0.647087628296
/Users/Bian/Downloads/proteins/T0576-D1.pdb,133,165.56582427,86.430916245,0.522033557505
/Users/Bian/Downloads/proteins/T0578-D1.pdb,148,202.841825716,111.381006651,0.549102761513
/Users/Bian/Downloads/proteins/T0579-D1.pdb,60,78.0302231445,34.3316607667,0.439979015607
/Users/Bian/Downloads/proteins/T0579-D2.pdb,64,84.377134226,35.9202285261,0.42571045883
/Users/Bian/Downloads/proteins/T0580-D1.pdb,104,125.989290509,72.6239781532,0.576429773198
/Users/Bian/Downloads/proteins/T0581-D1.pdb,105,137.709963801,72.7268875146,0.528116379578
/Users/Bian/Downloads/proteins/T0582-D1.pdb,121,154.751192432,79.8593832708,0.516050196549
/Users/Bian/Downloads/proteins/T0582-D2.pdb,99,131.540653225,71.8716664039,0.546383681714
/Users/Bian/Downloads/proteins/T0584-D1.pdb,338,373.169872476,240.63471082,0.644839598714
/Users/Bian/Downloads/proteins/T0585-D1.pdb,212,225.459941132,129.096676962,0.572592524923
/Users/Bian/Downloads/proteins/T0586-D1.pdb,80,107.292174727,59.9693884094,0.558935342322
/Users/Bian/Downloads/proteins/T0586-D2.pdb,39,72.3448445954,38.4968799463,0.532130245929
/Users/Bian/Downloads/proteins/T0588-D1.pdb,381,403.217559011,215.656322002,0.534838617969
/Users/Bian/Downloads/proteins/T0589-D1.pdb,228,260.03068868,162.731532817,0.62581664358
/Users/Bian/Downloads/proteins/T0589-D2.pdb,82,114.082085814,59.444767216,0.52107012939
/Users/Bian/Downloads/proteins/T0589-D3.pdb,94,114.541827665,66.0554608643,0.576692918305
/Users/Bian/Downloads/proteins/T0590-D1.pdb,72,110.738648979,61.9498585477,0.559424005247
/Users/Bian/Downloads/proteins/T0591-D1.pdb,380,407.555970285,273.087482643,0.670061298458
/Users/Bian/Downloads/proteins/T0592-D1.pdb,137,178.757587994,91.7716115488,0.513385823667
/Users/Bian/Downloads/proteins/T0593-D1.pdb,195,219.393168223,129.904298993,0.592107311476
/Users/Bian/Downloads/proteins/T0594-D1.pdb,140,171.023566561,86.550391017,0.50607289251
/Users/Bian/Downloads/proteins/T0596-D1.pdb,53,70.6306604005,43.6268387853,0.61767564593
/Users/Bian/Downloads/proteins/T0596-D2.pdb,121,155.739581652,99.9555779851,0.641812292832
/Users/Bian/Downloads/proteins/T0597-D1.pdb,359,401.802621091,241.074844033,0.599983253913
/Users/Bian/Downloads/proteins/T0598-D1.pdb,127,168.309087694,100.67548827,0.598158362383
/Users/Bian/Downloads/proteins/T0599-D1.pdb,367,374.274522784,208.216792516,0.556321042019
/Users/Bian/Downloads/proteins/T0600-D1.pdb,59,91.5141520448,51.1412065149,0.558833856537
/Users/Bian/Downloads/proteins/T0600-D2.pdb,47,95.5792238011,46.0273065776,0.481561836842
/Users/Bian/Downloads/proteins/T0601-D1.pdb,442,509.481765745,320.756685055,0.62957441585
/Users/Bian/Downloads/proteins/T0602-D1.pdb,55,99.9517571162,60.9616392796,0.609910631273
/Users/Bian/Downloads/proteins/T0603-D1.pdb,260,315.568427516,190.944387536,0.605080771353
/Users/Bian/Downloads/proteins/T0604-D1.pdb,80,111.831099819,69.1369562035,0.61822656055
/Users/Bian/Downloads/proteins/T0604-D2.pdb,249,269.597207169,150.742170842,0.559138473373
/Users/Bian/Downloads/proteins/T0604-D3.pdb,205,234.195959029,127.836836618,0.545854152002
/Users/Bian/Downloads/proteins/T0606-D1.pdb,120,143.455684046,77.1025870583,0.537466239634
/Users/Bian/Downloads/proteins/T0607-D1.pdb,469,509.858574431,304.388562626,0.597005871609
/Users/Bian/Downloads/proteins/T0608-D1.pdb,89,110.42664442,54.2196629994,0.491001635379
/Users/Bian/Downloads/proteins/T0608-D2.pdb,161,184.937023766,85.1292026199,0.46031454863
/Users/Bian/Downloads/proteins/T0609-D1.pdb,335,351.215326041,183.632439574,0.522848594462
/Users/Bian/Downloads/proteins/T0610-D1.pdb,176,207.214325043,114.614687456,0.55312144772
/Users/Bian/Downloads/proteins/T0611-D1.pdb,53,70.5240279022,36.7438674482,0.521012037191
/Users/Bian/Downloads/proteins/T0611-D2.pdb,149,191.876815903,105.968667695,0.552274474623
/Users/Bian/Downloads/proteins/T0612-D1.pdb,106,159.214639857,83.8912485638,0.526906625163
